ID,final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,7017235: List the top 5 games you play with the most frequent first.,7017236: Does your gaming make you a better team player? How?,CODE,Gamer Group,gamer?,game days / week,team frequency,top 5 games,games essay,7017232: I am a gamer..1,7017233: How many days per week do you game?.1,7017234: How often do you game in a team?.1,"7017235: List the top 5 games you play with the most frequent first.
[game1]
[game2]
[game3]
[game4]
[game5]",7335381: I am a gamer.,7335382: How many days per week do you game?,7335383: How often do you game in a team?,"7335384: List the top 5 games you play with the most frequent first.
[game1]
[game2]
[game3]
[game4]
[game5]",7335385: Does your gaming make you a better team player? How?
174,91,True,4.0,Never,"terraria,Elden ring,minecraft,Mtg arena,sekiro shadows die twice",I don't really play team games so personally I don't think gaming makes me a better team player.,,High Frequency,,,,,,,,,,,,,,
175,92,True,2.0,Half of the time,"Breath of the Wild,Switch Sports,Jackbox,Overwatch,It Takes Two","Growing up, I had a lot of hyper-competitive friends. Because of this, usually when we played games together like Super Smash Bros or Mario Kart, it was just a matter of time before my competitive friends started to get mad because they were losing. I am someone who gets my fun from hanging out with my friends when they are all having fun. As a general principle, when I start losing in a game, especially a co-op game, that is when my sense of team morale is at its peak. I usually find the other person who is losing just as poorly and turn it into a ""losing together"" sort of situation, where hey, maybe we aren't the top of the top, but that doesn't mean we can't have fun. I have a strong belief in the idea of ""at least we are losing together,"" and I think playing games with others, both every man for himself and team-based, is what has allowed me to take such a positive outlook on working as a team, especially when things are tough and you may not be doing so well.",,Low Frequency,,,,,,,,,,,,,,
176,92,True,5.0,Most of the time,"Call of Duty,Multiversus,Rocket League,Fortnite,League of Legends","I believe that gaming does make you a better team player because you are almost always working with friends to accomplish some sort of goal, depending on the game.",,High Frequency,,,,,,,,,,,,,,
177,92,True,5.0,Most of the time,"Apex Legends,MLB The Show,Call of Duty,Madden,NBA","I do believe my style of gaming makes you a better team player. I am big about keeping everyone on the objective, good at thinking on the spot for solutions to problems that come up. I always try to find the best possible case scenario for the team, team first, and it should always be like a family",,High Frequency,,,,,,,,,,,,,,
178,92,True,1.0,Most of the time,"Apex Legends,Sea of Thieves,CSGO,Subnautica ,Minecraft","Yes, it does, I have learned many teamwork skills from playing games. My friends and I have created many Minecraft servers where we try to beat it as quickly as possible. I have learned how to effectively communicate with my team members. Also with CSGO, I learned to have very frequent communication so my team of 5 could outplay and out maneuver the opposing team. ",,Low Frequency,,,,,,,,,,,,,,
179,92,True,4.0,Always,"CSGO,Valorant,Payday 2,Call of Duty,Apex",Gaming has taught me communication and team playin skills. As well as focusing on a broad goal rather than my own personal goals.,,High Frequency,,,,,,,,,,,,,,
180,93,True,7.0,Some of the time,"Doom Eternal,DOOM II (1994),Garry's Mod,Final Fantasy VII (1997),SimCity 4","Yes. My gaming forces me to interact with other players on levels of experience both above and below mine. As a beginner, I am forced to learn and be humbled by more experienced players. As I gain experience, I gain breadth in my gaming skills and learn to communicate and pass knowledge to other players.",,High Frequency,,,,,,,,,,,,,,
181,93,True,7.0,Some of the time,"Sea of Thieves,ARK: Survival Evolved,Dead by Daylight,Elden Ring,Dark Souls 3","Yes. Although most of the games I play are at the very least manageable alone, my top two (especially ARK) are MUCH easier when you share the work and have a group. Just like team projects, when you have multiple people all contributing you can pool your resources and progress much faster than you could alone. Although I do tend to have fun alone, it's absolutely less efficient and my gaming reinforces that if I want to actually get things done, I need to work with others. It's also close to impossible to take on the hardest challenges alone in these games, so working in a team is required for large scale efforts. ",,High Frequency,,,,,,,,,,,,,,
182,94,True,2.0,Always,"Dota2,CsGO,NA,NA,NA","Definitely. I play team games so in order to succeed I have to work well within the team. If I don't, we struggle which kinda defeats the purpose of having fun and playing the game.",,Low Frequency,,,,,,,,,,,,,,
183,94,False,1.0,Some of the time,"na,rocket league,na,na,na","I feel like it definitely has potential to make myself a better team player. This is because when you work with others, you can do better and be stronger than if you were to be on your own.  ",,Low Frequency,,,,,,,,,,,,,,
184,94,True,4.0,Some of the time,"Magic: The Gathering,Stardew Valley,Pokemon,Minecraft,Titanfall 2","I would say gaming makes me a better team player in some ways. Playing a cooperative game with a team does a good job when it comes to assigning a goal for the team to reach and incentivizing them to work for it, through collectibles or fame or just the thrill of victory. This gives gamers opportunity and reason to collaborate where they sometimes wouldn't, and teaches them how to work with others to reach a goal with as few bumps in the road as possible.",,High Frequency,,,,,,,,,,,,,,
185,94,True,2.0,Half of the time,"Binding of Isaac,DotA 2,Age of Empires III,Counter Strike: Global Offesnive,Dark Souls 3","Yes.

In DotA, you are in teams of 5, and unless you are the greatest player ever, you will not win without cooperating with your team. This comes with harsh name calling, intentionally losing the game, DDoS attacks (not as frequent), and most of all stubbornness.
Learning to manage this in a team setting and keep your cool while 5 different idea's clash to try and win is difficult, but when everyone can put aside their differences it becomes a harmony of success and even if your team on paper is worse, you may still win with cooperation. Learning to take these different ideas and mold your own around them allows to see the game from a new perspective and improve your own skills.",,Low Frequency,,,,,,,,,,,,,,
186,94,True,5.0,Most of the time,"Escape from Tarkov,League Of Legends,Minecraft,Rainbow Six Seige,Mass effect saga",It encourages me to better understand what others are thinking and how their actions impact mine in a competitive environment.,,High Frequency,,,,,,,,,,,,,,
187,94,True,3.0,Some of the time,"Deus Ex,Dead By Daylight,Apex Legends,Metroid Dread ,Overwatch","I think playing games has helped me be better in teams. Gaming with friends had helped me coordinate with actions to succeed more than playing alone. Often times, being in a team has helped us win or just act as a better part of a whole, splitting responsibilities and listening to and helping each other. Most of the games we play together online are cooperative, and we have succeeded more together than when we play individually.  Other times, trying to be a team had accidentally and hilariously gotten us all killed faster. I think overall playing games in a team has helped me though, and I hope it leads to more success in this class.",,Low Frequency,,,,,,,,,,,,,,
188,95,True,7.0,Most of the time,"League of Legends,VALORANT,Nancy Drew,Rune Factory 2: A Fantasy Harvest Moon,New Super Mario Bros Wii","I think so. Especially in VALORANT and League, games are two teams of five players. I like to play with four of my friends (usually friends that are much better than I am), or solo queueing competitive matches. Sometimes maybe a duo. When I'm playing with my friends that are much better than I am, I'm not one to just allow them to do all the work. I am always asking for advice on how to improve in between rounds, and then after games doing reviews of my games and even going through video playback to see what I did right and what I could improve on and HOW. Then, I will go to the range and practice my aim, or in the practice tool to practice farming minions. It's ok for me to not be immediately good when I've never played FPS or MOBA games before. I didn't grow up playing them. But I do take the time to improve my skills and I greatly appreciate my friends that are cool with me asking them for some coaching advice. I also realize that while I am improving my skills, I want to find my niche in the team when we 5-man. In VALORANT I usually either play Skye or Viper, dependent on the map. As Skye I can heal, flash enemies, and scout/concuss enemies and get some recon. I can use my abilities to help my friends enter site who have really good aim. I also have found ways to use my utility to clutch rounds when I'm the last player standing. In large maps where walls/impairing vision is important, I play Viper. I don't have as much utility to help my team if I can't aim very well that day, but never underestimate the importance of a well-placed and timed wall. I also can shoot poison so that's helpful. In most other activities I am one of the top contenders, so FPS/skill shot games are interesting to me because I'm not as talented at them right off the bat. I do take the time to improve, but it's cool to have to work harder at something than I normally do. ",,High Frequency,,,,,,,,,,,,,,
